,Title,URL
0,Tick-borne encephalitis virus transmitted singly and in duo with Borrelia burgdorferi sensu lato and Anaplasma phagocytophilum bacteria by ticks as pathogens modifying lipid metabolism in human blood,/articles/10.1186/s12929-024-01016-7
1,Integration of transcription regulation and functional genomic data reveals lncRNA SNHG6’s role in hematopoietic differentiation and leukemia,/articles/10.1186/s12929-024-01015-8
2,Reduced interleukin-18 secretion by human monocytic cells in response to infections with hyper-virulent Streptococcus pyogenes,/articles/10.1186/s12929-024-01014-9
3,"Metabolism-regulating non-coding RNAs in breast cancer: roles, mechanisms and clinical applications",/articles/10.1186/s12929-024-01013-w
4,Genetic and pharmacologic p32-inhibition rescue CHCHD2-linked Parkinson’s disease phenotypes in vivo and in cell models,/articles/10.1186/s12929-024-01010-z
5,The role of pregnancy associated plasma protein-A in triple negative breast cancer: a promising target for achieving clinical benefits,/articles/10.1186/s12929-024-01012-x
6,Translational research on drug development and biomarker discovery for hepatocellular carcinoma,/articles/10.1186/s12929-024-01011-y
7,Germline mutations of homologous recombination genes and clinical outcomes in pancreatic cancer: a multicenter study in Taiwan,/articles/10.1186/s12929-024-01008-7
8,Rab37 mediates trafficking and membrane presentation of PD-1 to sustain T cell exhaustion in lung cancer,/articles/10.1186/s12929-024-01009-6
9,FLT3L-induced virtual memory CD8 T cells engage the immune system against tumors,/articles/10.1186/s12929-024-01006-9
10,Promising antibacterial efficacy of arenicin peptides against the emerging opportunistic pathogen Mycobacterium abscessus,/articles/10.1186/s12929-024-01007-8
11,Targeting MDM2 in malignancies is a promising strategy for overcoming resistance to anticancer immunotherapy,/articles/10.1186/s12929-024-01004-x
12,Mechanisms and functions of SUMOylation in health and disease: a review focusing on immune cells,/articles/10.1186/s12929-024-01003-y
13,Hesperetin activates CISD2 to attenuate senescence in human keratinocytes from an older person and rejuvenates naturally aged skin in mice,/articles/10.1186/s12929-024-01005-w
14,Plectin plays a role in the migration and volume regulation of astrocytes: a potential biomarker of glioblastoma,/articles/10.1186/s12929-024-01002-z
15,Modelling the complex nature of the tumor microenvironment: 3D tumor spheroids as an evolving tool,/articles/10.1186/s12929-024-00997-9
16,TEM1/endosialin/CD248 promotes pathologic scarring and TGF-β activity through its receptor stability in dermal fibroblasts,/articles/10.1186/s12929-024-01001-0
17,Physiology and pharmacological targeting of phase separation,/articles/10.1186/s12929-024-00993-z
18,Inactivation of pentraxin 3 suppresses M2-like macrophage activity and immunosuppression in colon cancer,/articles/10.1186/s12929-023-00991-7
19,Engineered EVs with pathogen proteins: promising vaccine alternatives to LNP-mRNA vaccines,/articles/10.1186/s12929-024-01000-1
20,Attenuation of neurovirulence of chikungunya virus by a single amino acid mutation in viral E2 envelope protein,/articles/10.1186/s12929-024-00995-x
21,Scaffold-based 3D cell culture models in cancer research,/articles/10.1186/s12929-024-00994-y
22,Therapeutic antibodies for the prevention and treatment of cancer,/articles/10.1186/s12929-024-00996-w
23,Immune evasion in cell-based immunotherapy: unraveling challenges and novel strategies,/articles/10.1186/s12929-024-00998-8
24,Exploring the relationship between metabolism and immune microenvironment in osteosarcoma based on metabolic pathways,/articles/10.1186/s12929-024-00999-7
25,The synergism of cytosolic acidosis and reduced NAD+/NADH ratio is responsible for lactic acidosis-induced vascular smooth muscle cell impairment in sepsis,/articles/10.1186/s12929-023-00992-6
26,"Localization, traffic and function of Rab34 in adipocyte lipid and endocrine functions",/articles/10.1186/s12929-023-00990-8
27,Nano-modified viruses prime the tumor microenvironment and promote the photodynamic virotherapy in liver cancer,/articles/10.1186/s12929-023-00989-1
28,A novel mucosal bivalent vaccine of EV-A71/EV-D68 adjuvanted with polysaccharides from Ganoderma lucidum protects mice against EV-A71 and EV-D68 lethal challenge,/articles/10.1186/s12929-023-00987-3
29,A secreted form of chorismate mutase (Rv1885c) in Mycobacterium bovis BCG contributes to pathogenesis by inhibiting mitochondria-mediated apoptotic cell death of macrophages,/articles/10.1186/s12929-023-00988-2
30,ARID1A loss activates MAPK signaling via DUSP4 downregulation,/articles/10.1186/s12929-023-00985-5
31,SCEL regulates switches between pro-survival and apoptosis of the TNF-α/TNFR1/NF-κB/c-FLIP axis to control lung colonization of triple negative breast cancer,/articles/10.1186/s12929-023-00986-4
32,Butterflies in the gut: the interplay between intestinal microbiota and stress,/articles/10.1186/s12929-023-00984-6
33,Spatiotemporal roles of AMPK in PARP-1- and autophagy-dependent retinal pigment epithelial cell death caused by UVA,/articles/10.1186/s12929-023-00978-4
34,The ‘speck’-tacular oversight of the NLRP3-pyroptosis pathway on gastrointestinal inflammatory diseases and tumorigenesis,/articles/10.1186/s12929-023-00983-7
35,Complete spectrum of adverse events associated with chimeric antigen receptor (CAR)-T cell therapies,/articles/10.1186/s12929-023-00982-8
36,"Small interfering RNA (siRNA)-based therapeutic applications against viruses: principles, potential, and challenges",/articles/10.1186/s12929-023-00981-9
37,Human ACE2 protein is a molecular switch controlling the mode of SARS-CoV-2 transmission,/articles/10.1186/s12929-023-00980-w
